機構名稱,地址,電話,經度,緯度
國立台灣大學醫學院附設醫院,臺北市中正區中山南路7、8號；常德街1號,(02)23123456,121.5183428,25.03553921
國立臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,(02)23123456,121.5187506,25.04434314
郵政醫院（委託中英醫療社團法人經營）,臺北市中正區福州街14號,(02)23956755,121.5186982,25.02874869
臺北市立聯合醫院,臺北市大同區鄭州路145號,(02)25523234,121.5088874,25.05069244
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路2段92號,(02)25433535,121.522558,25.05888423
台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路2段92號,(02)25433535,121.522558,25.05888423
協和婦女醫院,臺北市中山區松江路85巷5號1，2，3，4樓、93巷6號1，2，4樓,(02)25072222,121.5339434,25.05027331
三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,(02)27462151,121.5577045,25.05394015
長庚醫療財團法人台北長庚紀念醫院,199號(暫未開放)、197號(暫未開放)、臺北市松山區敦化北路199巷6號、 臺北市松山區民生東路三段130巷9號2、3、B1、B2樓、臺北市松山區南京東路3段337號5、6、9、10樓,(02)27135211,121.5485556,25.05023183
基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424、426號,(02)27718151,121.5444842,25.04758836
博仁綜合醫院,臺北市松山區光復北路66號、68號地下一層、68號、68號2至7樓、68號2樓之1至7樓之1、68號2樓之2至7樓之2,(02)25786677,121.557695,25.04990354
培靈醫院,臺北市松山區八德路四段355號,(02)27606116,121.5682821,25.04940059
國立臺灣大學醫學院附設醫院癌醫中心分院,臺北市大安區基隆路 3段155巷57號 ,(02)23220322,121.5439164,25.01449586
中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號、臺北市仁愛路四段112巷12號,(02)27081166,121.5497106,25.03655173
國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段266巷6號，280號,(02)27082121,121.5528014,25.03717848
中心診所醫療財團法人中心綜合醫院,臺北市大安區忠孝東路四段77號,(02)27510221,121.5473297,25.04186487
宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路四段71巷1號、仁愛路四段61號、仁愛路四段91巷16號,(02)27713161,121.5470295,25.03849645
秀傳醫院,臺北市大安區光復南路116巷1、3、5號1至4樓及地下1樓,(02)27717172,121.5568623,25.04311217
國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區康定路37號、臺北市萬華區內江街87號、臺北市萬華區內江街89號 (文教大樓1樓及供應樓1至2樓)  ,(02)23717101,121.5025511,25.04222858
西園醫療社團法人西園醫院,臺北市萬華區西園路二段266、268、270、272、276號、185、187、189號,(02)23329888,121.4945402,25.0277877
財團法人台灣省私立台北仁濟院附設仁濟醫院,臺北市萬華區廣州街200、243號,(02)23021131,121.5042335,25.03642709
同仁院醫療財團法人萬華醫院,臺北市萬華區中華路二段606巷6號,(02)23059292,121.5098259,25.02405006
臺北醫學大學附設醫院,臺北市信義區吳興街２５2號、250號,(02)27372181,121.5636377,25.02663801
新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號及士商路51號、51號2樓、51號3樓、51號4樓、51號5樓、51號6樓、51號7樓、53號、55號、57號、臺北市士林區基河路252號1樓,(02)28332211,121.5202887,25.0962409
三軍總醫院北投分院附設民眾診療服務處,臺北市北投區新民路60號、中和街250號1至4樓、永興路二段2號1至2樓,(02)28959808,121.5097013,25.1398048
臺北榮民總醫院,臺北市北投區石牌路二段201號、322號,(02)28712121,121.5191658,25.11918228
臺北市立關渡醫院─委託臺北榮民總醫院經營,臺北市北投區知行路225巷12號,(02)28587000,121.4663577,25.12018758
振興醫療財團法人振興醫院,臺北市北投區振興街45號,(02)28264400,121.5224005,25.11754255
醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市北投區立德路125號,(02)28970011,121.4720113,25.12834055
臺北市北投健康管理醫院,臺北市北投區中和街2號,(02)28988686,121.5037059,25.13758475
三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號；臺北市中正區汀州路3段40號,(02)87923311,121.5919821,25.07180042
康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,(02)26345500,121.6087792,25.07595162
中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號、362號,(02)27919696,121.5905997,25.08212491
德威國際牙醫口腔醫院,臺北市內湖區內湖路一段659號1樓,(02)27990123,121.5751861,25.08056184
臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市文山區興隆路三段111號,(02)29307930,121.5583303,25.00030628
景美醫院,臺北市文山區羅斯福路六段280號、文山區育英街2巷18號、文山區羅斯福路六段276巷1號1樓、文山區萬慶街18號1樓,(02)29331010,121.5405334,24.99001925
